Line Text,Bounding Box
good income to the family. A,"[{'x': 80, 'y': 1402}, {'x': 733, 'y': 1399}, {'x': 733, 'y': 1451}, {'x': 80, 'y': 1455}]"
formal employee contract will be,"[{'x': 80, 'y': 1461}, {'x': 829, 'y': 1459}, {'x': 829, 'y': 1512}, {'x': 80, 'y': 1515}]"
issued after completing 4 working,"[{'x': 82, 'y': 1520}, {'x': 861, 'y': 1521}, {'x': 861, 'y': 1575}, {'x': 82, 'y': 1573}]"
days. Benefits: Paid annual leave:,"[{'x': 78, 'y': 1579}, {'x': 838, 'y': 1580}, {'x': 838, 'y': 1632}, {'x': 78, 'y': 1632}]"
in addition to statutory holidays,"[{'x': 78, 'y': 1640}, {'x': 805, 'y': 1640}, {'x': 805, 'y': 1695}, {'x': 78, 'y': 1694}]"
such as maternity leave and,"[{'x': 81, 'y': 1701}, {'x': 720, 'y': 1701}, {'x': 720, 'y': 1751}, {'x': 81, 'y': 1752}]"
paternity leave. Regular,"[{'x': 83, 'y': 1761}, {'x': 622, 'y': 1760}, {'x': 622, 'y': 1813}, {'x': 83, 'y': 1814}]"
employees are entitled to 5-15,"[{'x': 81, 'y': 1822}, {'x': 779, 'y': 1818}, {'x': 780, 'y': 1870}, {'x': 81, 'y': 1874}]"
days of paid annual leave.If you,"[{'x': 80, 'y': 1881}, {'x': 801, 'y': 1880}, {'x': 801, 'y': 1934}, {'x': 80, 'y': 1935}]"
"would like to join us, please","[{'x': 82, 'y': 1940}, {'x': 708, 'y': 1941}, {'x': 708, 'y': 1995}, {'x': 82, 'y': 1993}]"
contact the employer for more,"[{'x': 81, 'y': 2001}, {'x': 776, 'y': 2002}, {'x': 776, 'y': 2053}, {'x': 81, 'y': 2052}]"
information by sending a text,"[{'x': 81, 'y': 2060}, {'x': 745, 'y': 2060}, {'x': 745, 'y': 2115}, {'x': 81, 'y': 2114}]"
message to the phone,"[{'x': 81, 'y': 2124}, {'x': 596, 'y': 2122}, {'x': 596, 'y': 2173}, {'x': 81, 'y': 2174}]"
number:16022956837,"[{'x': 84, 'y': 2181}, {'x': 600, 'y': 2180}, {'x': 601, 'y': 2228}, {'x': 84, 'y': 2229}]"
+,"[{'x': 70, 'y': 2328}, {'x': 115, 'y': 2328}, {'x': 115, 'y': 2372}, {'x': 69, 'y': 2372}]"
iMessage,"[{'x': 217, 'y': 2327}, {'x': 441, 'y': 2330}, {'x': 441, 'y': 2379}, {'x': 217, 'y': 2376}]"
