Image_Name,Sender,Text_Message,Explanation,Classification,Quote_1,Quote_1_EX,Quote_2,Quote_2_EX,is_sender,is_sender_EX
image_66.PNG,+1 (877) 217-2478,"Diwali's here! Extra pickup & delivery slots just opened, grab yours now at order.curryupnow.com. Hurry y'all ... Sent from Curry Up Now Reply STOP to opt-out","This message promotes a restaurant's services for Diwali, stating, ""Extra pickup & delivery slots just opened."" The inclusion of a legitimate website link for ordering food and a clear opt-out option (""Reply STOP to opt-out"") indicates it is a standard marketing message, not a phishing attempt.",No,"""Diwali's here! Extra pickup & delivery slots just opened, grab yours now at order.curryupnow.com.""","The message promotes a restaurant's services and includes a legitimate URL, which is consistent with a typical marketing message. The phrasing and clarity suggest it is not a scam.","""Hurry y'all ... Sent from Curry Up Now.""","This message is clearly written and includes a branded link and the restaurant’s name, indicating that it is a legitimate promotional message from a business.",No,"The inclusion of an official website and clear opt-out option suggests that this is a genuine marketing message, not a phishing attempt"
image_67.PNG,38222,890532 is your Microsoft Azure verification code,"This message could be legitimate if the recipient recently attempted to log in to their Microsoft Azure account or requested a verification code. The sender is a five-digit number, which is common for legitimate business texts, especially for two-factor authentication. If the recipient was expecting this code, it would not be classified as phishing. However, if they did not request any verification, it could still raise concerns. Context and user expectation are crucial in this scenario.",No,"""890532 is your Microsoft Azure verification code""","This message looks like a legitimate two-factor authentication code sent by Microsoft Azure, which is a standard and secure way of verifying user identity.","""Your verification code""","Legitimate verification codes sent by trusted services like Microsoft Azure typically come from short, numbered sources like 38222, indicating that this message is most likely authentic.",Yes,"Short codes like ""38222"" are often used by companies for transactional messages like verification codes. Since the message is relevant to a user-requested service (verification code for Azure), it is legitimate."
image_68.PNG,+1 (727) 955-3244,Thanks for dining at Kerbey Lane Cafe! We'd love to hear about your experience https:// app.getwisely.com/webviews/ surveys/d525c6d9- e6cb-4bc8-8d45-1607ace726fa? u=dc2382db-8eb0-4f41-9c16-54 14fa785345&m=278894&ut=372 323854,"The message expresses gratitude for dining at a restaurant and invites feedback, saying, ""We'd love to hear about your experience."" The link provided appears to lead to a legitimate survey, and the overall tone is typical of customer engagement, indicating it is not phishing.",No,"""Thanks for dining at Kerbey Lane Cafe! We'd love to hear about your experience.""","This is a typical customer feedback request message, often sent after a restaurant visit. The phrasing and clear invitation for feedback suggest that it is legitimate.","""https:// app.getwisely.com/webviews/surveys/d525c6d9-e6cb-4bc8-8d45-1607ace726fa?u=dc2382db-8eb0-4f41-9c16-5414fa785345&m=278894&ut=372323854.""",The link provided appears to lead to a legitimate survey platform. The context and purpose of the message (feedback for a restaurant) are standard for customer engagement.,No,"This message includes a survey link for customer feedback and appears to be a legitimate follow-up, not phishing."
image_69.PNG,+1 (866) 351-4652,"You're all set! Haru Ramen | IchiUmi Ramen for 3 at 6:45pm on Sep 15, 2024 2525 W. Anderson Ln. #120 Austin TX 78757 ? 512-407-9000","This message confirms a reservation, stating, ""You're all set!"" with specific details about the time and location. The clarity and relevance of the information suggest it is a legitimate communication rather than a phishing attempt.",No,"""You're all set! Haru Ramen | IchiUmi Ramen for 3 at 6:45pm on Sep 15, 2024 2525 W. Anderson Ln. #120 Austin TX 78757.""","This is a reservation confirmation with specific details like the time and location, which suggests it is a legitimate message related to a reservation.","""2525 W. Anderson Ln. #120 Austin TX 78757.""","The detailed address further supports the legitimacy of the message, as scammers typically avoid providing specific information like this.",Yes,"The use of a toll-free number (866) and the detailed, relevant content of the message strongly suggest that this is a legitimate confirmation of a restaurant reservation, not a phishing attempt."
image_70.PNG,63260,Yelp: You've created a reminder for Pluckers Wing Bar - Oak Hill today at 07:00pm. Text STOP to end msgs Yelp: It's time to head to Pluckers Wing Bar - Oak Hill. Click https:// yelp.to/kypFmnzDJu to check live wait times. The wait is less than 15 min.,"This message from Yelp confirms a reservation reminder, saying, ""You've created a reminder for Pluckers Wing Bar."" It includes a link for live wait times and opt-out instructions, which are consistent with legitimate customer service communications, indicating it is not phishing.",No,"""Yelp: You've created a reminder for Pluckers Wing Bar - Oak Hill today at 07:00pm.""","This is a typical reminder for a Yelp reservation. The message provides specific details, which are characteristic of legitimate customer service notifications","""Click https:// yelp.to/kypFmnzDJu to check live wait times.""","The link directs to a legitimate Yelp URL, which further supports the authenticity of the message.",Yes,"The short code ""63260"" is a valid number used by Yelp to send reservation reminders and updates. Given the content, this message is legitimate and is not a phishing attempt."
image_71.PNG,+1 (833) 239-7014,"Welcome to SMS messages from Cafe Monet Art and Clay Studio via Square - Reply to send us a message or ""STOP"" to unsubscribe from receiving messages, std rates apply View your receipt from Cafe Monet Art and Clay Studio: https:// squareup.com/r/ rMJKK6RBD07DJW6?sms=1 Reply to send us a message","The message welcomes the recipient to SMS updates from a business, stating, ""Welcome to SMS messages from Cafe Monet Art and Clay Studio."" The presence of a link to view a receipt and a clear way to unsubscribe suggests it is a legitimate message.",No,"""Welcome to SMS messages from Cafe Monet Art and Clay Studio via Square.""","This is a standard welcome message for SMS updates from a business. It includes a clear sender and purpose, making it a legitimate customer communication.","""View your receipt from Cafe Monet Art and Clay Studio: https:// squareup.com/r/rMJKK6RBD07DJW6?sms=1""","The link directs to Square, a legitimate payment processing service, indicating that the message is authentic and related to a transaction.",Yes,"The 833 toll-free number and the clear content related to a business transaction suggest that this is a legitimate message confirming a receipt, not a phishing attempt."
image_72.PNG,+1 (844) 302-2632,"Thank you for being our guest! Reply STOP = End msgs How are we doing so far? Please answer 2 quick questions and let us know. Reply with just the #; 1-5, 5 = very satisfied, 1 = not at all. What is your overall satisfaction with your apartment?","This message asks for feedback on apartment services, saying, ""Thank you for being our guest!"" The straightforward survey format and opt-out option imply that it is a legitimate request for customer input, not phishing.",No,"""Thank you for being our guest! Reply STOP = End msgs.""","The polite and professional tone, along with the opt-out option, suggests this is a legitimate customer feedback request.","""Please answer 2 quick questions and let us know.""","The direct and straightforward nature of the message, along with the request for simple feedback, makes this appear to be a legitimate survey.",Yes,The toll-free number (844) and the structured nature of the message (feedback request) suggest that this is a legitimate customer satisfaction survey and not a phishing attempt.
image_73.PNG,43933,CDC: V-safe is now open for the updated COVID-19 vaccine. Register within 6 weeks of your COVID-19 vaccination and tell us how you're feeling: vsafe.cdc.gov,"This message from the CDC about vaccine registration states, ""V-safe is now open for the updated COVID-19 vaccine."" It directs recipients to a government website, making it a credible source of information and not phishing.",No,"""CDC: V-safe is now open for the updated COVID-19 vaccine.""",The reference to the official CDC service and COVID-19 vaccine registration makes this message legitimate. The URL also directs to a trusted government website.,"""Register within 6 weeks of your COVID-19 vaccination and tell us how you're feeling: vsafe.cdc.gov.""",The clear instruction and use of a government website URL further validate the authenticity of the message.,Yes,"The use of a short code and the official .gov domain confirms that this message is a legitimate communication from the CDC, not a phishing attempt."
image_74.PNG,1115,"T-Mobile: Thanks for visiting us on Dec 6. Please tell us about your experience. To opt out, reply STOP. Survey info will be stored - t-mo.co/privacy Para realizar la encuesta en espanol, responda 'espanol'. 1/4: How satisfied are you with the assistance you received from our team member(s)? Please reply on a 0-10 scale where 0 = Not at all satisfied 10 = Extremely satisfied","This T-Mobile message requests customer feedback, saying, ""Thanks for visiting us on Dec 6."" It includes clear instructions for opting out and a structured survey, which are standard for customer service communications, indicating it is not phishing.",No,"""T-Mobile: Thanks for visiting us on Dec 6.""","The message acknowledges a visit to T-Mobile on a specific date, which is typical of customer service follow-up messages. It appears personalized and relevant to a recent customer interaction.","""To opt out, reply STOP. Survey info will be stored - t-mo.co/privacy""",The clear opt-out option and reference to T-Mobile's privacy policy suggest this is a legitimate customer feedback survey. Legitimate businesses typically include opt-out options and links to privacy policies in such messages.,Yes,"The use of a short code (1115) is typically associated with legitimate businesses, especially for mass customer surveys, making this message appear authentic. Short codes are not typically used by scammers, so this is a clear indicator that the message is not spam."
image_75.PNG,36246,You're on the waitlist at The Peached Tortilla: https://n.opn.tl/ 2KawJqec. Reply 9 to cancel; STOP to end msg. Msg&data rates may apply.,"The message confirms a waitlist status, stating, ""You're on the waitlist at The Peached Tortilla"" It provides options for cancellation and opt-out, making the message clear and relevant, which suggests it is legitimate and not phishing.",No,"""You're on the waitlist at The Peached Tortilla:""","The message confirms the recipient's status on a waitlist at a restaurant, which is common in the service industry. This indicates the message is related to a legitimate service.","""Reply 9 to cancel; STOP to end msg.""","The message includes options for cancellation and opt-out, which are standard in legitimate SMS communications. This further suggests the message is legitimate",Yes,"The short code ""36246"" is typically used by businesses for customer communication, such as waitlist notifications or promotions."
